mass_A
t	x	y
3.000000000E0	3.630469035E-1	1.212399450E-1
3.010000000E0	3.719650047E-1	1.269094044E-1
3.020000000E0	3.801340052E-1	1.325550915E-1
3.030000000E0	3.885806805E-1	1.382497228E-1
3.040000000E0	3.961130555E-1	1.436275417E-1
3.050000000E0	4.030804111E-1	1.487969610E-1
3.060000000E0	4.101533110E-1	1.540868389E-1
3.070000000E0	4.165111624E-1	1.588941648E-1
3.080000000E0	4.224924052E-1	1.635300506E-1
3.090000000E0	4.284434801E-1	1.681590279E-1
3.100000000E0	4.336209164E-1	1.721341922E-1
3.110000000E0	4.385626454E-1	1.762719374E-1
3.120000000E0	4.428225988E-1	1.802663098E-1
3.130000000E0	4.470822243E-1	1.839610438E-1
3.140000000E0	4.505655600E-1	1.877181206E-1
3.150000000E0	4.535921141E-1	1.913798846E-1
3.160000000E0	4.566818291E-1	1.940672653E-1
3.170000000E0	4.596089485E-1	1.963508888E-1
3.180000000E0	4.623875419E-1	1.986804581E-1
3.190000000E0	4.643008312E-1	2.009602390E-1
3.200000000E0	4.658853284E-1	2.027438907E-1
3.210000000E0	4.672176568E-1	2.042119905E-1
3.220000000E0	4.684682617E-1	2.054452666E-1
3.230000000E0	4.689876946E-1	2.062287466E-1
3.240000000E0	4.693507234E-1	2.068709521E-1
3.250000000E0	4.693425835E-1	2.070868438E-1
3.260000000E0	4.691313736E-1	2.070516170E-1
3.270000000E0	4.687608401E-1	2.068101632E-1
3.280000000E0	4.685323721E-1	2.056986857E-1
3.290000000E0	4.672792110E-1	2.051373905E-1
3.300000000E0	4.658909277E-1	2.038747366E-1
3.310000000E0	4.642032185E-1	2.021058206E-1
3.320000000E0	4.624424081E-1	1.998905416E-1
3.330000000E0	4.597311895E-1	1.973586012E-1
3.340000000E0	4.567851251E-1	1.953172382E-1
3.350000000E0	4.535872721E-1	1.925986995E-1
3.360000000E0	4.502628446E-1	1.893158001E-1
3.370000000E0	4.469571827E-1	1.853541063E-1
3.380000000E0	4.425755772E-1	1.816710121E-1
3.390000000E0	4.382015004E-1	1.778840627E-1
3.400000000E0	4.334616148E-1	1.738315154E-1
3.410000000E0	4.283779309E-1	1.692004884E-1
3.420000000E0	4.226711657E-1	1.646994419E-1
3.430000000E0	4.166171788E-1	1.601711754E-1
3.440000000E0	4.104752803E-1	1.555067030E-1
3.450000000E0	4.039471540E-1	1.503362858E-1
3.460000000E0	3.967472496E-1	1.453401221E-1
3.470000000E0	3.892853760E-1	1.399141999E-1
3.480000000E0	3.814653217E-1	1.344276097E-1
3.490000000E0	3.732334099E-1	1.289036274E-1
3.500000000E0	3.646958199E-1	1.230712745E-1
3.510000000E0	3.556217032E-1	1.171647807E-1
3.520000000E0	3.465155670E-1	1.115765507E-1
3.530000000E0	3.368759932E-1	1.062605753E-1
3.540000000E0	3.266659755E-1	1.006620370E-1
3.550000000E0	3.162097895E-1	9.508363826E-2
3.560000000E0	3.054821924E-1	8.958384396E-2
3.570000000E0	2.946060137E-1	8.443166128E-2
3.580000000E0	2.826932856E-1	7.904884495E-2
3.590000000E0	2.707830730E-1	7.372643040E-2
3.600000000E0	2.580626347E-1	6.836744427E-2
3.610000000E0	2.459544601E-1	6.353352815E-2
3.620000000E0	2.325143951E-1	5.846195095E-2
3.630000000E0	2.193183986E-1	5.376226616E-2
3.640000000E0	2.056729783E-1	4.933356485E-2
3.650000000E0	1.918488621E-1	4.524842957E-2
3.660000000E0	1.780227790E-1	4.113514377E-2
3.670000000E0	1.632784876E-1	3.715642776E-2
3.680000000E0	1.490103270E-1	3.398033668E-2
3.690000000E0	1.342351789E-1	3.063461187E-2
3.700000000E0	1.192662630E-1	2.759370462E-2
3.710000000E0	1.042280818E-1	2.502284415E-2
3.720000000E0	8.953306766E-2	2.392765776E-2
3.730000000E0	7.305008206E-2	2.119181724E-2
3.740000000E0	5.790014559E-2	1.965810592E-2
3.750000000E0	4.238984420E-2	1.870589532E-2
3.760000000E0	2.722170668E-2	1.785759956E-2
3.770000000E0	1.225764817E-2	1.744529152E-2
3.780000000E0	-2.768442716E-3	1.702417012E-2
3.790000000E0	-1.810679212E-2	1.722935472E-2
3.800000000E0	-3.379906761E-2	1.763879998E-2
3.810000000E0	-4.908412504E-2	1.851159859E-2
3.820000000E0	-6.429308014E-2	1.963417695E-2
3.830000000E0	-7.990199368E-2	2.094982549E-2
3.840000000E0	-9.473647690E-2	2.354293546E-2
3.850000000E0	-1.110965985E-1	2.594618237E-2
3.860000000E0	-1.253016060E-1	2.723273963E-2
3.870000000E0	-1.403172400E-1	3.007791071E-2
3.880000000E0	-1.549189187E-1	3.283847746E-2
3.890000000E0	-1.695899720E-1	3.585754613E-2
3.900000000E0	-1.837550370E-1	3.911439156E-2
3.910000000E0	-1.981032268E-1	4.268393603E-2
3.920000000E0	-2.119688202E-1	4.653110236E-2
3.930000000E0	-2.254852401E-1	5.057539249E-2
3.940000000E0	-2.388092550E-1	5.508122205E-2
3.950000000E0	-2.518278211E-1	5.953342449E-2
3.960000000E0	-2.640910396E-1	6.437432817E-2
3.970000000E0	-2.759440423E-1	6.923516805E-2
3.980000000E0	-2.860919780E-1	7.484446867E-2
3.990000000E0	-2.991787399E-1	7.998510294E-2
4.000000000E0	-3.104086685E-1	8.516987490E-2
4.010000000E0	-3.210112569E-1	9.063157907E-2
4.020000000E0	-3.315439336E-1	9.600635427E-2
4.030000000E0	-3.413306267E-1	1.014615887E-1
4.040000000E0	-3.511345743E-1	1.073887461E-1
4.050000000E0	-3.604525300E-1	1.126565672E-1
4.060000000E0	-3.693863825E-1	1.183041014E-1
4.070000000E0	-3.779423325E-1	1.236010249E-1
4.080000000E0	-3.859509499E-1	1.290969261E-1
4.090000000E0	-3.934996789E-1	1.341921190E-1
4.100000000E0	-4.007071452E-1	1.393155388E-1
4.110000000E0	-4.078823955E-1	1.445005457E-1
4.120000000E0	-4.142598749E-1	1.493427834E-1
4.130000000E0	-4.203893505E-1	1.542298937E-1
4.140000000E0	-4.265987721E-1	1.589272770E-1
4.150000000E0	-4.319349788E-1	1.632411215E-1
4.160000000E0	-4.371399044E-1	1.675991099E-1
4.170000000E0	-4.417273716E-1	1.713382222E-1
4.180000000E0	-4.461373864E-1	1.752005311E-1
4.190000000E0	-4.502697661E-1	1.787681826E-1
4.200000000E0	-4.536859744E-1	1.818974953E-1
